CLF,accuracy,f1,auc
LogReg,0.7574400067329407,0.749673105963175,0.7059295124228673
SVM,0.7684800028800964,0.7751145845504138,0.7813759780307302
rf,0.9797999858856201,0.9788879601565019,0.978427010463936
