CLF,accuracy,f1,auc
LogReg,0.9885999917984009,0.9756225013662251,0.9913071786716989
SVM,0.9903999924659729,0.9792797270030515,0.9936231819808965
rf,0.9882799983024597,0.9745372531105184,0.9902802649955484
