CLF,accuracy,f1,auc
LogReg,0.7357600092887878,0.7273392848185172,0.6403737312744758
SVM,0.9640400052070618,0.995585054072556,0.7414557162318773
rf,0.9996000051498413,0.999560570756902,0.9995584721050689
