CLF,accuracy,f1,auc
LogReg,0.6343600034713746,0.5202802963599945,0.6004429813730366
SVM,0.9908399939537048,0.9897085078162309,0.9741301109391509
rf,0.9840000152587891,0.9820378137374288,0.9828946119106936
